feature_x0,feature_x1,target_y
0.830,0.399,0.615
0.932,0.378,0.655
0.819,0.192,0.505
0.423,0.974,0.699
0.468,0.717,0.593
0.014,0.042,0.028
0.930,0.118,0.524
0.457,0.876,0.666
0.586,0.216,0.401
0.205,0.891,0.548
0.340,0.121,0.231
0.662,0.478,0.570
0.492,0.451,0.471
0.114,0.247,0.180
0.281,0.003,0.142
0.171,0.924,0.547
0.551,0.595,0.573
0.224,0.717,0.470
0.877,0.831,0.854
0.957,0.016,0.486
0.597,0.656,0.626
0.208,0.395,0.301
0.306,0.787,0.546
0.998,0.864,0.931
0.106,0.441,0.274
0.803,0.383,0.593
0.740,0.303,0.521
0.713,0.195,0.454
0.755,0.324,0.539
0.169,0.232,0.201
0.106,0.017,0.061
0.596,0.999,0.797
0.167,0.832,0.499
0.997,0.402,0.700
0.961,0.414,0.688
0.544,0.132,0.338
0.370,0.918,0.644
0.740,0.262,0.501
0.539,0.832,0.685
0.685,0.695,0.690
0.349,0.370,0.359
0.230,0.587,0.408
0.321,0.028,0.174
0.259,0.451,0.355
0.229,0.849,0.539
0.186,0.294,0.240
0.404,0.990,0.697
0.786,0.625,0.706
0.415,0.838,0.626
0.122,0.151,0.137
0.940,0.957,0.949
0.133,0.203,0.168
0.097,0.813,0.455
0.730,0.440,0.585
0.804,0.810,0.807
0.134,0.271,0.203
0.328,0.999,0.663
0.800,0.680,0.740
0.073,0.298,0.185
0.058,0.808,0.433
0.167,0.812,0.489
0.374,0.545,0.460
0.896,0.304,0.600
0.731,0.108,0.419
0.245,0.445,0.345
0.748,0.304,0.526
0.805,0.971,0.888
0.410,0.764,0.587
0.864,0.115,0.489
0.076,0.787,0.431
0.990,0.126,0.558
0.738,0.356,0.547
0.033,0.378,0.205
0.310,0.963,0.636
0.361,0.463,0.412
0.347,0.196,0.272
0.770,0.140,0.455
0.354,0.666,0.510
0.079,0.102,0.090
0.688,0.053,0.370
0.550,0.401,0.475
0.583,0.037,0.310
0.273,0.476,0.374
0.005,0.724,0.364
0.973,0.269,0.621
0.306,0.303,0.304
0.981,0.341,0.661
0.359,0.493,0.426
0.759,0.934,0.847
0.631,0.152,0.392
0.040,0.661,0.350
0.129,0.207,0.168
0.527,0.906,0.717
0.721,0.514,0.618
0.782,0.337,0.559
0.152,0.595,0.373
0.145,0.501,0.323
0.868,0.884,0.876
0.085,0.166,0.126
0.719,0.248,0.483
0.205,0.701,0.453
0.366,0.746,0.556
0.320,0.307,0.314
0.061,0.478,0.270
0.894,0.531,0.713
0.025,0.308,0.167
0.373,0.775,0.574
0.578,0.602,0.590
0.285,0.474,0.380
0.481,0.857,0.669
0.758,0.302,0.530
0.544,0.373,0.459
0.185,0.573,0.379
0.837,0.400,0.619
0.435,0.749,0.592
0.784,0.133,0.459
0.780,0.706,0.743
0.553,0.709,0.631
0.682,0.688,0.685
0.294,0.684,0.489
0.120,0.084,0.102
0.005,0.718,0.361
0.902,0.477,0.690
0.325,0.759,0.542
0.751,0.075,0.413
0.708,0.230,0.469
0.812,0.078,0.445
0.011,0.047,0.029
0.030,0.438,0.234
0.431,0.176,0.303
0.015,0.614,0.315
0.953,0.856,0.904
0.642,0.367,0.504
0.325,0.080,0.203
0.194,0.399,0.296
0.281,0.424,0.352
0.801,0.715,0.758
0.682,0.106,0.394
0.400,0.274,0.337
0.365,0.488,0.426
0.043,0.464,0.254
0.363,0.337,0.350
0.805,0.637,0.721
0.485,0.004,0.244
0.039,0.812,0.425
0.875,0.484,0.679
0.064,0.220,0.142
0.710,0.198,0.454
0.847,0.919,0.883
0.598,0.983,0.790
0.229,0.978,0.604
0.987,0.791,0.889
0.824,0.769,0.796
0.712,0.343,0.527
0.120,0.164,0.142
0.443,0.869,0.656
0.888,0.487,0.688
0.771,0.306,0.538
0.966,0.223,0.595
0.556,0.835,0.696
0.051,0.763,0.407
0.516,0.040,0.278
0.292,0.989,0.640
0.969,0.213,0.591
0.053,0.420,0.236
0.284,0.607,0.446
0.187,0.715,0.451
0.529,0.604,0.567
0.221,0.485,0.353
0.920,0.803,0.862
0.230,0.460,0.345
0.022,0.945,0.483
0.717,0.179,0.448
0.881,0.381,0.631
0.205,0.166,0.185
0.180,0.358,0.269
0.084,0.019,0.051
0.343,0.076,0.209
0.424,0.453,0.439
0.743,0.681,0.712
0.240,0.212,0.226
0.743,0.286,0.514
0.605,0.204,0.405
0.957,0.171,0.564
0.306,0.149,0.228
0.387,0.691,0.539
0.891,0.385,0.638
0.300,0.143,0.222
0.411,0.384,0.398
0.194,0.427,0.310
0.151,0.200,0.175
0.635,0.936,0.785
0.726,0.420,0.573
0.686,0.840,0.763
0.981,0.505,0.743
0.694,0.597,0.645
0.840,0.937,0.888
0.218,0.509,0.363
0.352,0.760,0.556
0.745,0.275,0.510
0.307,0.422,0.364
0.761,0.739,0.750
0.157,0.956,0.556
0.845,0.220,0.532
0.066,0.794,0.430
0.618,0.983,0.800
0.719,0.214,0.467
0.867,0.739,0.803
0.439,0.448,0.444
0.654,0.165,0.409
0.825,0.829,0.827
0.525,0.560,0.542
0.269,0.717,0.493
0.040,0.828,0.434
0.637,0.290,0.464
0.599,0.903,0.751
0.942,0.416,0.679
0.495,0.652,0.574
0.251,0.683,0.467
0.512,0.927,0.720
0.948,0.044,0.496
0.627,0.989,0.808
0.633,0.972,0.802
0.938,0.160,0.549
0.383,0.652,0.517
0.230,0.565,0.398
0.101,0.284,0.193
0.245,0.773,0.509
0.059,0.014,0.036
0.967,0.502,0.735
0.637,0.680,0.658
0.378,0.258,0.318
0.453,0.558,0.505
0.697,0.779,0.738
0.814,0.475,0.644
0.655,0.862,0.758
0.732,0.138,0.435
0.451,0.975,0.713
0.720,0.082,0.401
0.102,0.898,0.500
0.568,0.564,0.566
0.208,0.699,0.454
0.615,0.210,0.412
0.839,0.456,0.647
0.198,0.935,0.567
0.023,0.459,0.241
0.083,0.023,0.053
0.045,0.233,0.139
0.698,0.533,0.616
0.782,0.974,0.878
0.799,0.560,0.679
0.558,0.781,0.669
0.116,0.517,0.317
0.408,0.667,0.537
0.928,0.975,0.952
0.012,0.865,0.439
0.875,0.157,0.516
0.777,0.185,0.481
0.992,0.201,0.597
0.677,0.776,0.727
0.219,0.763,0.491
0.115,0.228,0.172
0.729,0.712,0.721
0.957,0.347,0.652
0.132,0.827,0.479
0.588,0.087,0.338
0.484,0.433,0.459
0.222,0.344,0.283
0.383,0.177,0.280
0.797,0.392,0.595
0.352,0.582,0.467
0.484,0.692,0.588
0.330,0.707,0.518
0.587,0.717,0.652
0.417,0.183,0.300
0.133,0.807,0.470
0.271,0.258,0.265
0.667,0.721,0.694
0.834,0.671,0.752
0.065,0.869,0.467
0.799,0.267,0.533
0.867,0.494,0.680
0.862,0.608,0.735
0.415,0.957,0.686
0.499,0.885,0.692
0.614,0.769,0.692
0.446,0.765,0.606
0.096,0.014,0.055
0.126,0.780,0.453
0.144,0.105,0.124
0.115,0.901,0.508
0.871,0.774,0.823
0.692,0.543,0.618
0.887,0.163,0.525
0.240,0.092,0.166
0.716,0.236,0.476
0.945,0.469,0.707
0.984,0.240,0.612
0.578,0.492,0.535
0.553,0.155,0.354
0.781,0.417,0.599
0.846,0.723,0.784
0.572,0.169,0.370
0.543,0.641,0.592
0.692,0.825,0.758
0.237,0.468,0.352
0.111,0.613,0.362
0.558,0.822,0.690
0.312,0.035,0.173
0.516,0.089,0.302
0.204,0.823,0.513
0.624,0.032,0.328
0.609,0.912,0.760
0.759,0.525,0.642
0.362,0.827,0.595
0.643,0.602,0.623
0.110,0.737,0.423
0.278,0.669,0.473
0.836,0.982,0.909
0.844,0.289,0.567
0.482,0.265,0.373
0.724,0.714,0.719
0.281,0.793,0.537
0.403,0.684,0.543
0.057,0.490,0.274
0.574,0.141,0.357
0.986,0.601,0.793
0.647,0.095,0.371
0.404,0.793,0.599
0.293,0.476,0.385
0.694,0.644,0.669
0.664,0.657,0.660
0.004,0.894,0.449
0.190,0.529,0.359
0.147,0.830,0.488
0.825,0.905,0.865
0.150,0.442,0.296
0.657,0.202,0.429
0.146,0.485,0.316
0.590,0.085,0.338
0.114,0.247,0.180
0.975,0.003,0.489
0.659,0.119,0.389
0.190,0.078,0.134
0.295,0.429,0.362
0.542,0.033,0.287
0.649,0.841,0.745
0.064,0.616,0.340
0.864,0.990,0.927
0.611,0.856,0.734
0.434,0.070,0.252
0.477,0.202,0.340
0.841,0.349,0.595
0.147,0.882,0.514
0.047,0.497,0.272
0.981,0.777,0.879
0.421,0.882,0.651
0.729,0.594,0.661
0.155,0.038,0.097
0.419,0.988,0.704
0.736,0.498,0.617
0.178,0.996,0.587
0.603,0.441,0.522
0.177,0.677,0.427
0.503,0.758,0.630
0.472,0.423,0.448
0.262,0.834,0.548
0.511,0.830,0.670
0.660,0.615,0.637
0.986,0.949,0.968
0.685,0.639,0.662
0.679,0.513,0.596
0.072,0.156,0.114
0.947,0.863,0.905
0.849,0.985,0.917
0.187,0.823,0.505
0.466,0.166,0.316
0.619,0.620,0.620
0.301,0.957,0.629
0.367,0.112,0.239
0.085,0.091,0.088
0.216,0.857,0.536
0.139,0.469,0.304
0.675,0.740,0.708
0.067,0.590,0.329
0.896,0.739,0.818
0.967,0.115,0.541
0.972,0.643,0.807
0.670,0.720,0.695
0.491,0.152,0.322
0.657,0.054,0.355
0.615,0.754,0.684
0.951,0.159,0.555
0.981,0.051,0.516
0.963,0.650,0.806
0.042,0.599,0.321
0.635,0.193,0.414
0.646,0.217,0.431
0.756,0.733,0.745
0.746,0.301,0.523
0.516,0.648,0.582
0.760,0.787,0.773
0.421,0.889,0.655
0.282,0.907,0.595
0.200,0.490,0.345
0.077,0.280,0.178
0.219,0.641,0.430
0.829,0.273,0.551
0.205,0.540,0.372
0.130,0.617,0.373
0.561,0.325,0.443
0.349,0.732,0.540
0.409,0.944,0.676
0.520,0.230,0.375
0.417,0.124,0.271
0.296,0.671,0.483
0.699,0.306,0.502
0.866,0.458,0.662
0.539,0.592,0.566
0.357,0.039,0.198
0.246,0.791,0.518
0.118,0.196,0.157
0.909,0.533,0.721
0.245,0.772,0.508
0.102,0.830,0.466
0.823,0.127,0.475
0.640,0.126,0.383
0.259,0.548,0.404
0.199,0.878,0.538
0.040,0.067,0.053
0.590,0.389,0.489
0.560,0.840,0.700
0.250,0.823,0.536
0.533,0.960,0.747
0.325,0.838,0.582
0.017,0.131,0.074
0.235,0.854,0.544
0.124,0.644,0.384
0.367,0.601,0.484
0.599,0.512,0.555
0.643,0.942,0.792
0.821,0.617,0.719
0.301,0.595,0.448
0.546,0.366,0.456
0.361,0.955,0.658
0.946,0.509,0.728
0.082,0.763,0.422
0.450,0.577,0.513
0.642,0.091,0.366
0.810,0.472,0.641
0.464,0.780,0.622
0.038,0.355,0.197
0.636,0.812,0.724
0.038,0.596,0.317
0.580,0.892,0.736
0.361,0.248,0.304
0.193,0.618,0.406
0.911,0.785,0.848
0.216,0.451,0.334
0.486,0.664,0.575
0.049,0.620,0.335
0.223,0.718,0.470
0.379,0.527,0.453
0.583,0.830,0.707
0.978,0.630,0.804
0.181,0.652,0.416
0.061,0.559,0.310
0.764,0.322,0.543
0.447,0.586,0.516
0.075,0.983,0.529
0.995,0.820,0.907
0.795,0.142,0.469
0.022,0.905,0.464
0.907,0.794,0.851
0.382,0.756,0.569
0.650,0.314,0.482
0.418,0.895,0.656
0.671,0.694,0.682
0.421,0.287,0.354
0.278,0.599,0.439
0.602,0.576,0.589
0.838,0.271,0.554
0.599,0.748,0.673
0.919,0.581,0.750
0.972,0.306,0.639
0.145,0.720,0.432
0.526,0.886,0.706
0.908,0.466,0.687
0.793,0.313,0.553
0.828,0.491,0.659
0.399,0.720,0.559
0.630,0.966,0.798
0.806,0.697,0.751
0.893,0.902,0.897
0.892,0.002,0.447
0.096,0.029,0.062
0.685,0.945,0.815
0.021,0.890,0.456
0.706,0.458,0.582
0.352,0.373,0.362
0.923,0.072,0.497
0.960,0.685,0.823
0.210,0.111,0.161
0.023,0.973,0.498
0.571,0.369,0.470
0.080,0.147,0.114
0.415,0.307,0.361
0.369,0.884,0.626
0.585,0.263,0.424
0.433,0.209,0.321
0.624,0.460,0.542
0.227,0.779,0.503
0.517,0.471,0.494
0.305,0.125,0.215
0.533,0.955,0.744
0.246,0.207,0.227
0.638,0.872,0.755
0.861,0.046,0.454
0.040,0.983,0.511
0.092,0.399,0.245
0.202,0.102,0.152
0.481,0.552,0.516
0.495,0.932,0.714
0.404,0.245,0.325
0.933,0.080,0.506
0.112,0.669,0.391
0.433,0.033,0.233
0.169,0.885,0.527
0.219,0.140,0.179
0.478,0.314,0.396
0.695,0.659,0.677
0.944,0.119,0.531
0.331,0.272,0.301
0.170,0.935,0.552
0.886,0.475,0.680
0.098,0.536,0.317
0.301,0.562,0.431
0.249,0.305,0.277
0.426,0.264,0.345
0.658,0.789,0.724
0.021,0.530,0.276
0.588,0.804,0.696
0.279,0.132,0.205
0.566,0.094,0.330
0.400,0.025,0.212
0.400,0.050,0.225
0.622,0.836,0.729
0.047,0.440,0.243
0.621,0.318,0.469
0.811,0.581,0.696
0.062,0.835,0.449
0.914,0.288,0.601
0.125,0.450,0.287
0.179,0.712,0.446
0.294,0.919,0.607
0.589,0.359,0.474
0.487,0.281,0.384
0.176,0.286,0.231
0.388,0.393,0.391
0.955,0.602,0.778
0.711,0.009,0.360
0.593,0.152,0.372
0.020,0.560,0.290
0.507,0.664,0.586
0.614,0.828,0.721
0.258,0.035,0.146
0.295,0.701,0.498
0.346,0.805,0.576
0.696,0.151,0.423
0.155,0.934,0.544
0.245,0.261,0.253
0.522,0.210,0.366
0.559,0.834,0.697
0.785,0.974,0.879
0.075,0.345,0.210
0.756,0.996,0.876
0.319,0.427,0.373
0.539,0.138,0.339
0.746,0.013,0.380
0.951,0.006,0.478
0.116,0.454,0.285
0.015,0.002,0.009
0.680,0.564,0.622
0.954,0.745,0.850
0.379,0.270,0.325
0.581,0.331,0.456
0.428,0.159,0.293
0.226,0.235,0.231
0.883,0.127,0.505
0.053,0.022,0.037
0.090,0.440,0.265
0.205,0.647,0.426
0.476,0.782,0.629
0.061,0.784,0.422
0.228,0.226,0.227
0.834,0.693,0.763
0.779,0.987,0.883
0.301,0.071,0.186
0.139,0.655,0.397
0.597,0.329,0.463
0.617,0.423,0.520
0.426,0.426,0.426
0.429,0.272,0.350
0.425,0.150,0.287
0.064,0.935,0.499
0.185,0.435,0.310
0.570,0.919,0.745
0.374,0.216,0.295
0.652,0.402,0.527
0.297,0.819,0.558
0.021,0.989,0.505
0.145,0.744,0.445
0.001,0.958,0.479
0.200,0.264,0.232
0.351,0.192,0.272
0.119,0.886,0.502
0.856,0.388,0.622
0.045,0.923,0.484
0.280,0.982,0.631
0.566,0.937,0.751
0.901,0.859,0.880
0.190,0.845,0.517
0.894,0.572,0.733
0.380,0.858,0.619
0.833,0.922,0.877
0.552,0.691,0.622
0.804,0.837,0.821
0.023,0.162,0.092
0.968,0.987,0.978
0.268,0.868,0.568
0.350,0.869,0.610
0.082,0.968,0.525
0.889,0.873,0.881
0.534,0.793,0.663
0.837,0.458,0.647
0.067,0.976,0.521
0.134,0.919,0.526
0.209,0.148,0.178
0.051,0.712,0.382
0.827,0.580,0.704
0.955,0.141,0.548
0.628,0.460,0.544
0.640,0.349,0.494
0.635,0.118,0.377
0.685,0.657,0.671
0.914,0.693,0.803
0.560,0.701,0.630
0.908,0.838,0.873
0.752,0.231,0.491
0.247,0.039,0.143
0.933,0.194,0.564
0.509,0.687,0.598
0.605,0.703,0.654
0.245,0.638,0.442
0.641,0.142,0.392
0.937,0.332,0.634
0.931,0.608,0.769
0.943,0.638,0.790
0.125,0.945,0.535
0.757,0.416,0.587
0.009,0.920,0.465
0.103,0.891,0.497
0.118,0.356,0.237
0.247,0.591,0.419
0.558,0.395,0.476
0.871,0.380,0.625
0.646,0.435,0.540
0.898,0.794,0.846
0.962,0.661,0.811
0.550,0.211,0.381
0.691,0.207,0.449
0.011,0.222,0.117
0.252,0.964,0.608
0.817,0.174,0.495
0.218,0.212,0.215
0.468,0.254,0.361
0.743,0.555,0.649
0.387,0.830,0.609
0.021,0.994,0.507
0.733,0.933,0.833
0.300,0.480,0.390
0.903,0.474,0.689
0.066,0.891,0.478
0.635,0.966,0.800
0.433,0.750,0.592
0.170,0.748,0.459
0.422,0.645,0.533
0.678,0.407,0.542
0.867,0.909,0.888
0.698,0.078,0.388
0.996,0.484,0.740
0.835,0.421,0.628
0.604,0.058,0.331
0.783,0.484,0.633
0.952,0.602,0.777
0.119,0.111,0.115
0.606,0.465,0.535
0.319,0.272,0.295
0.392,0.676,0.534
0.423,0.676,0.549
0.184,0.932,0.558
0.290,0.447,0.368
0.526,0.921,0.724
0.406,0.002,0.204
0.400,0.203,0.301
0.230,0.103,0.167
0.405,0.038,0.222
0.261,0.491,0.376
0.060,0.773,0.416
0.980,0.906,0.943
0.151,0.523,0.337
0.074,0.626,0.350
0.507,0.042,0.275
0.569,0.734,0.651
0.664,0.518,0.591
0.002,0.331,0.167
0.236,0.426,0.331
0.600,0.007,0.303
0.621,0.499,0.560
0.954,0.076,0.515
0.982,0.902,0.942
0.257,0.133,0.195
0.718,0.172,0.445
0.201,0.840,0.520
0.256,0.445,0.350
0.047,0.423,0.235
0.392,0.433,0.412
0.800,0.226,0.513
0.014,0.482,0.248
0.795,0.064,0.429
0.931,0.389,0.660
0.813,0.713,0.763
0.687,0.459,0.573
0.126,0.100,0.113
0.670,0.611,0.640
0.381,0.424,0.403
0.781,0.184,0.482
0.671,0.002,0.337
0.436,0.878,0.657
0.579,0.118,0.348
0.152,0.137,0.144
0.727,0.885,0.806
0.350,0.671,0.510
0.153,0.618,0.386
0.837,0.128,0.482
0.464,0.252,0.358
0.849,0.595,0.722
0.981,0.616,0.798
0.245,0.981,0.613
0.469,0.780,0.625
0.707,0.715,0.711
0.081,0.792,0.436
0.059,0.718,0.389
0.821,0.970,0.895
0.456,0.790,0.623
0.710,0.224,0.467
0.775,0.804,0.789
0.231,0.644,0.438
0.808,0.501,0.654
0.065,0.637,0.351
0.175,0.152,0.164
0.074,0.601,0.338
0.516,0.520,0.518
0.026,0.641,0.334
0.239,0.719,0.479
0.836,0.547,0.692
0.378,0.144,0.261
0.635,0.375,0.505
0.864,0.236,0.550
0.792,0.863,0.828
0.840,0.734,0.787
0.410,0.184,0.297
0.910,0.419,0.664
0.139,0.713,0.426
0.895,0.986,0.941
0.995,0.731,0.863
0.580,0.692,0.636
0.470,0.839,0.654
0.086,0.131,0.108
0.485,0.545,0.515
0.899,0.584,0.742
0.902,0.772,0.837
0.145,0.254,0.200
0.594,0.139,0.366
0.191,0.204,0.198
0.799,0.163,0.481
0.874,0.411,0.642
0.165,0.393,0.279
0.223,0.040,0.132
0.427,0.326,0.377
0.066,0.416,0.241
0.731,0.157,0.444
0.171,0.216,0.194
0.018,0.921,0.469
0.500,0.550,0.525
0.422,0.018,0.220
0.071,0.247,0.159
0.802,0.915,0.859
0.394,0.399,0.397
0.490,0.690,0.590
0.146,0.383,0.265
0.612,0.593,0.603
0.068,0.522,0.295
0.067,0.658,0.362
0.194,0.386,0.290
0.863,0.717,0.790
0.597,0.286,0.442
0.560,0.115,0.338
0.876,0.086,0.481
0.022,0.071,0.046
0.606,0.416,0.511
0.686,0.787,0.737
0.399,0.772,0.586
0.139,0.013,0.076
0.422,0.476,0.449
0.789,0.416,0.603
0.189,0.453,0.321
0.635,0.299,0.467
0.437,0.519,0.478
0.766,0.185,0.475
0.270,0.126,0.198
0.792,0.505,0.648
0.933,0.827,0.880
0.484,0.410,0.447
0.618,0.232,0.425
0.652,0.572,0.612
0.393,0.364,0.379
0.046,0.408,0.227
0.331,0.710,0.520
0.149,0.950,0.549
0.051,0.064,0.058
0.774,0.619,0.697
0.357,0.483,0.420
0.854,0.400,0.627
0.182,0.639,0.410
0.627,0.268,0.448
0.373,0.693,0.533
0.953,0.681,0.817
0.717,0.539,0.628
0.379,0.521,0.450
0.632,0.216,0.424
0.115,0.827,0.471
0.063,0.700,0.382
0.274,0.053,0.164
0.902,0.140,0.521
0.512,0.410,0.461
0.593,0.364,0.478
0.932,0.771,0.852
0.852,0.162,0.507
0.014,0.895,0.455
0.419,0.952,0.685
0.393,0.137,0.265
0.644,0.406,0.525
0.326,0.943,0.634
0.540,0.561,0.550
0.417,0.713,0.565
0.235,0.477,0.356
0.561,0.393,0.477
0.690,0.660,0.675
0.925,0.305,0.615
0.440,0.085,0.263
0.442,0.053,0.247
0.947,0.519,0.733
0.681,0.323,0.502
0.612,0.110,0.361
0.830,0.991,0.910
0.591,0.821,0.706
0.323,0.446,0.385
0.175,0.163,0.169
0.844,0.517,0.680
0.928,0.337,0.632
0.060,0.359,0.209
0.286,0.588,0.437
0.118,0.378,0.248
0.444,0.556,0.500
0.455,0.976,0.716
0.487,0.785,0.636
0.243,0.414,0.329
0.684,0.438,0.561
0.291,0.968,0.629
0.721,0.794,0.757
0.922,0.359,0.640
0.002,0.151,0.076
0.064,0.729,0.397
0.369,0.826,0.598
0.463,0.066,0.265
0.178,0.486,0.332
0.474,0.388,0.431
0.858,0.468,0.663
0.798,0.218,0.508
0.955,0.713,0.834
0.716,0.063,0.390
0.728,0.495,0.612
0.873,0.612,0.743
0.578,0.318,0.448
0.866,0.879,0.873
0.481,0.549,0.515
0.470,0.590,0.530
0.299,0.541,0.420
0.763,0.424,0.594
0.270,0.976,0.623
0.965,0.867,0.916
0.717,0.855,0.786
0.177,0.176,0.176
0.986,0.497,0.742
0.903,0.439,0.671
0.173,0.561,0.367
0.182,0.574,0.378
0.897,0.019,0.458
0.152,0.693,0.422
0.726,0.649,0.688
0.225,0.430,0.328
0.154,0.796,0.475
0.611,0.490,0.550
0.094,0.261,0.177
0.293,0.468,0.381
0.336,0.269,0.302
0.271,0.942,0.607
0.905,0.363,0.634
0.115,0.589,0.352
0.435,0.160,0.297
0.670,0.363,0.516
0.937,0.651,0.794
0.738,0.900,0.819
0.428,0.334,0.381
0.429,0.522,0.475
0.714,0.904,0.809
0.383,0.596,0.489
0.579,0.843,0.711
0.658,0.508,0.583
0.936,0.323,0.629
0.521,0.768,0.644
0.799,0.861,0.830
0.831,0.356,0.594
0.968,0.443,0.706
0.584,0.189,0.387
0.336,0.261,0.298
0.317,0.107,0.212
0.277,0.430,0.353
0.876,0.353,0.615
0.645,0.371,0.508
1.000,0.664,0.832
0.472,0.434,0.453
0.104,0.849,0.476
0.417,0.995,0.706
0.209,0.878,0.543
0.931,0.459,0.695
0.259,0.723,0.491
0.932,0.693,0.812
0.146,0.380,0.263
0.914,0.126,0.520
0.055,0.468,0.262
0.465,0.252,0.358
0.510,0.538,0.524
0.010,0.245,0.128
0.611,0.030,0.321
0.168,0.713,0.441
0.567,0.520,0.543
0.945,0.056,0.500
0.344,0.950,0.647
0.494,0.884,0.689
0.769,0.313,0.541
0.128,0.940,0.534
0.663,0.209,0.436
0.807,0.653,0.730
0.387,0.374,0.381
0.569,0.444,0.506
0.477,0.697,0.587
0.079,0.410,0.244
0.543,0.667,0.605
0.228,0.289,0.259
0.192,0.253,0.223
0.702,0.459,0.581
0.775,0.778,0.776
0.156,0.503,0.330
0.659,0.495,0.577
0.020,0.570,0.295
0.737,0.326,0.531
0.282,0.601,0.442
0.857,0.237,0.547
0.757,0.637,0.697
0.891,0.965,0.928
0.841,0.555,0.698
0.630,0.604,0.617
0.312,0.308,0.310
0.505,0.705,0.605
0.303,0.719,0.511
0.019,0.276,0.147
0.340,0.745,0.542
0.340,0.323,0.332
0.296,0.674,0.485
0.652,0.624,0.638
0.095,0.441,0.268
0.286,0.918,0.602
0.413,0.703,0.558
0.275,0.315,0.295
0.728,0.514,0.621
0.782,0.629,0.706
0.227,0.135,0.181
0.659,0.869,0.764
0.955,0.745,0.850
0.390,0.453,0.421
0.043,0.192,0.117
0.941,0.689,0.815
0.198,0.871,0.534
0.303,0.667,0.485
0.460,0.533,0.496
0.646,0.200,0.423
0.572,0.449,0.510
0.315,0.985,0.650
0.273,0.861,0.567
0.449,0.539,0.494
0.587,0.418,0.502
0.127,0.640,0.384
0.605,0.724,0.664
0.385,0.433,0.409
0.066,0.024,0.045
0.291,0.678,0.484
0.001,0.968,0.484
0.939,0.274,0.607
0.168,0.785,0.476
0.370,0.477,0.423
0.819,0.853,0.836
0.835,0.671,0.753
0.043,0.156,0.100
0.195,0.888,0.541
0.502,0.472,0.487
0.314,0.899,0.607
0.160,0.658,0.409
0.814,0.263,0.538
0.762,0.537,0.649
0.755,1.000,0.877
0.556,0.944,0.750
0.903,0.965,0.934
0.999,0.309,0.654
0.588,0.218,0.403
0.905,0.020,0.463
0.650,0.286,0.468
0.713,0.372,0.542
0.328,0.915,0.622
0.950,0.633,0.791
0.913,0.450,0.681
0.179,0.534,0.356
0.312,0.572,0.442
0.629,0.818,0.724
0.370,0.583,0.476
0.815,0.969,0.892
0.198,0.070,0.134
0.928,0.135,0.531
0.866,0.710,0.788
0.099,0.331,0.215
0.145,0.687,0.416
0.781,0.554,0.667
0.073,0.111,0.092
0.263,0.675,0.469
0.725,0.110,0.417
0.911,0.348,0.629
0.854,0.165,0.509
0.339,0.966,0.652
0.757,0.282,0.519
0.945,0.023,0.484
0.915,0.133,0.524
0.400,0.615,0.507
0.785,0.418,0.602
0.043,0.742,0.393
0.423,0.554,0.488
0.310,0.935,0.623
0.771,0.680,0.726
0.459,0.767,0.613
0.394,0.522,0.458
0.619,0.783,0.701
0.871,0.191,0.531
0.139,0.436,0.287
0.289,0.123,0.206
0.352,0.115,0.234
0.438,0.107,0.273
0.668,0.694,0.681
0.334,0.653,0.493
0.599,0.811,0.705
0.646,0.808,0.727
